What is your age?,Which social media platform/s do you like the most or use the most?,Number of social medial do you use ?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,Measurement Effect in human
22,Facebook,1,more than 4 hrs,none,7,"Photos being misused, Fake profiles",through social media,High
20,Youtube,1,upto 4 hrs,1 - 2.5 hrs,3,None of the above,face to face,Low
14,"Whatsapp, Facebook, Youtube, Instagram",4,upto 4 hrs,upto 4 hrs,0,None of the above,through social media,High
23,"Whatsapp, Facebook",2,less than 1 hr,less than 1 hr,8,Fake profiles,"face to face, through phone",Low
19,Youtube,1,more than 4 hrs,less than 1 hr,1,None of the above,face to face,High
16,"Whatsapp, Facebook, Youtube, Instagram",4,1 - 2.5 hrs,none,9,None of the above,"Text message, through social media",High
18,"Whatsapp, Instagram, Snapchat",3,less than 1 hr,1 - 2.5 hrs,2,"Hacking, Photos being misused, Fake profiles",face to face,Low
19,"Whatsapp, Facebook, Instagram",3,more than 4 hrs,less than 1 hr,4,None of the above,Text message,High
18,"Youtube, Twitter",2,1 - 2.5 hrs,none,0,None of the above,Text message,Low
23,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat",6,1 - 2.5 hrs,less than 1 hr,0,None of the above,"face to face, through phone, Text message, through social media",Low
19,Facebook,1,upto 4 hrs,1 - 2.5 hrs,4,None of the above,through social media,High
23,"Whatsapp, Facebook, Youtube, Instagram",4,1 - 2.5 hrs,less than 1 hr,5,None of the above,"face to face, through phone",Low
20,Snapchat,1,more than 4 hrs,less than 1 hr,1,Hacking,Text message,High
18,"Youtube, Instagram, Snapchat",3,upto 4 hrs,none,6,None of the above,through social media,High
14,"Facebook, Youtube, Instagram, Snapchat",4,1 - 2.5 hrs,less than 1 hr,6,None of the above,Text message,High
19,"Whatsapp, Instagram, Snapchat",3,more than 4 hrs,1 - 2.5 hrs,1,Fake profiles,"face to face, through phone",High
23,Facebook,1,1 - 2.5 hrs,more than 4 hrs,0,None of the above,through social media,Low
19,Whatsapp,1,less than 1 hr,1 - 2.5 hrs,1,None of the above,"face to face, through phone",Low
19,"Whatsapp, Facebook, Youtube, Hike, Tinder",5,upto 4 hrs,1 - 2.5 hrs,0,None of the above,Text message,High
20,"Facebook, Instagram",2,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone",Low
23,"Whatsapp, Facebook, Youtube, Twitter, Instagram",5,1 - 2.5 hrs,less than 1 hr,8,"Hacking, Photos being misused, Fake profiles","face to face, through phone",High
18,Whatsapp,1,1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,"face to face, through phone",Low
19,"Whatsapp, Facebook, Youtube, Instagram, Hike",5,upto 4 hrs,1 - 2.5 hrs,9,None of the above,"face to face, through phone",High
18,"Whatsapp, Facebook, Youtube",3,more than 4 hrs,less than 1 hr,1,None of the above,through social media,High
18,"Whatsapp, Instagram",2,less than 1 hr,upto 4 hrs,7,None of the above,face to face,High
19,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Hike",6,1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,Low
19,Whatsapp,1,upto 4 hrs,none,6,None of the above,face to face,High
19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",5,more than 4 hrs,none,8,"Hacking, Fake profiles","face to face, through phone",High
19,"Whatsapp, Facebook, Instagram",3,1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,"face to face, through phone",Low
18,Youtube,1,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,Low
19,Facebook,1,more than 4 hrs,none,6,None of the above,through phone,High
